source,target,weight
kettle_holding_reward,right_handle_reward,0.00039447905
kettle_handle_reward,angvel_reward,0.00039389203
cap_distance_reward,direction_reward,0.00039234027
direction_reward,finger_grasp_reward,0.00039166183
kettle_spout_goal_reward,grasp_reward,0.00039159172
spout_bucket_reward,handle_grasp_reward,0.00039123
button_press_reward,finger_grasp_reward,0.0003903415
transfer_reward,handle_grasp_reward,0.00038970148
scissors_open_reward,stability_penalty,0.0003895436
fingertip_to_handle_reward,goal_align_reward,0.00038926958
left_fingers_pos_reward,hand_to_object_reward,0.000388899
vel_penalty,door_close_reward,0.00038867837
distance_reward,orientation_reward,0.00038850278
left_handle_reward,vertical_reward,0.00038836888
fingertip_another_object_reward,finger_grasp_reward,0.00038823113
alignment_reward,finger_grasp_reward,0.00038808718
bucket_holding_reward,success_object_reward,0.0003875998
door_rotation_reward,vertical_reward,0.00038741392
door_open_vel_reward,cap_distance_reward,0.00038703496
penalty_drop_object,pos_reward,0.0003869839
angular_velocity_reward,bucket_handle_reward,0.0003868406
cap_goal_reward,bottle_vel_reward,0.00038664395
approach_reward,finger_grasp_reward,0.0003864785
cap_grasp_reward,right_hand_pos_reward,0.00038641787
right_distance_reward,kettle_tilt_reward,0.00038636383
left_fingers_pos_reward,finger_grasp_reward,0.00038611557
left_hand_press_reward,separation_reward,0.0003857055
hand_scissors_reward,cap_opening_reward,0.00038551693
hand_dist_reward,finger_grasp_reward,0.0003852367
left_fingers_pos_reward,angvel_reward,0.00038343677
transfer_reward,handle_distance_reward,0.00038342996
finger_contact_reward,bottle_hold_reward,0.0003832499
penalty_object_another,vertical_reward,0.00038324978
vel_penalty,finger_reward,0.0003830628
incremental_progress_reward,smooth_reward,0.00038298607
right_handle_reward,goal_rot_reward,0.0003829598
cap_progress_reward,cap_goal_reward,0.00038270117
distance_reward,cap_up_reward,0.00038242884
penalty_drop_object_another,bucket_handle_reward,0.00038167313
object_to_goal_reward,swing_reward,0.00038092773
contact_reward,handle_grasp_reward,0.0003808424
fingertip_to_handle_reward,vertical_reward,0.00038081143
fingertip_object_reward,left_fingers_press_reward,0.00038053395
height_reward,finger_grasp_reward,0.00038041113
bottle_hold_reward,finger_grasp_reward,0.00037988395
door_angular_movement_reward,success_bonus,0.00037924093
height_reward,task_reward,0.00037901851
door_angle_reward,fingertip_another_object_reward,0.00037894968
right_hand_reach_reward,vertical_reward,0.00037876953
handover_reward,scissors_open_reward,0.00037872605
orientation_penalty,direction_reward,0.00037818585
right_fingers_press_reward,cap_progress_reward,0.0003775645
hand_to_object_reward,incremental_progress_reward,0.00037705753
object_goal_reward,vertical_reward,0.00037697348
left_hand_reward,finger_grasp_reward,0.00037689388
pour_alignment_reward,cap_up_reward,0.00037678174
right_hand_pos_reward,finger_grasp_reward,0.00037671084
hand_switch_bonus,lift_reward,0.00037578456
press_reward,height_reward,0.00037552122
right_hand_reach_reward,finger_grasp_reward,0.00037464983
stability_penalty,finger_grasp_reward,0.0003746416
cap_goal_reward,cap_progress_reward,0.00037340124
left_handle_reward,finger_grasp_reward,0.0003732819
grip_reward,success_object_reward,0.0003731747
spill_penalty,lift_reward,0.0003725297
finger_contact_reward,door_movement_reward,0.0003720107
fingertip_object_reward,rotation_reward,0.00037180574
hand_balance_reward,door_angular_movement_reward,0.00037177812
drop_penalty,vertical_reward,0.00037058577
door_displacement_reward,finger_grasp_reward,0.00037044604
hand_reward,pos_reward,0.00037009697
object_velocity_reward,kettle_handle_reward,0.00036982633
right_switch_reward,angvel_reward,0.0003695825
right_hand_reward,press_reward,0.00036942624
stability_reward,kettle_tilt_reward,0.0003692569
right_hand_reach_reward,door_angular_movement_reward,0.00036902222
vertical_alignment,task_success_bonus,0.00036822542
distance_reward,distance_to_switch_left_reward,0.00036818546
press_reward,bottle_vel_reward,0.00036803482
scissors_open_reward,rot_reward,0.00036797443
right_press_reward,kettle_holding_reward,0.00036771168
angular_velocity_reward,door_progress_reward,0.00036742663
goal_alignment_reward,direction_reward,0.00036711947
goal_reward,door_angular_movement_reward,0.00036706694
vel_penalty,handle_reward,0.00036705783
goal_rot_reward,bottle_vel_reward,0.0003665596
door_move_reward,left_hand_pos_reward,0.00036598544
episode_length_penalty,hand_close_reward,0.00036598233
pour_alignment_reward,finger_grasp_reward,0.00036592834
transfer_reward,incremental_progress_reward,0.00036583774
water_transfer_reward,vertical_reward,0.00036578145
velocity_penalty,finger_grasp_reward,0.0003656059
water_pouring_reward,left_handle_reward,0.000364853
orientation_reward,stability_reward,0.00036454355
penalty_drop_object,door_angular_movement_reward,0.00036348324
hand_handle_reward,separation_reward,0.00036335568
contact_reward,hand_dist_reward,0.00036303085
cap_up_reward,right_distance_reward,0.0003628509
door_move_reward,spilling_penalty,0.00036283946
height_reward,right_hand_pos_reward,0.00036266822
left_hand_reward,vertical_reward,0.00036236315
finger_coord_reward,task_completion_bonus,0.00036210657
hand_pos_reward,time_penalty,0.0003616236
time_penalty,fingertip_object_reward,0.00036133913
button_press_reward,success_bonus,0.00036107167
bucket_holding_reward,door_displacement_reward,0.00035960588
