[hold_object_reward, 0.2, grasp_reward, 0.3, rotation_reward, 0.3, goal_reward, 1, success_reward, 0.5, 0.2202]
[hold_object_reward, 0.2, grasp_reward, 0.3, rotation_reward, 0.3, goal_reward, 1, success_reward, 1, 0.2808]
[hold_object_reward, 0.2, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 0.3, success_reward, 0.5, 0.374]1_2
[hold_object_reward, 0.2, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 0.3, success_reward, 1, 0.2031]
[hold_object_reward, 0.2, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 1, success_reward, 0.5, 0.3408]
[hold_object_reward, 0.2, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 1, success_reward, 1, 0.1025]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 0.3, goal_reward, 0.3, success_reward, 0.5, 0.25]1_2
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 0.3, goal_reward, 0.3, success_reward, 1, 0.1772]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 0.3, goal_reward, 1, success_reward, 0.5, 0.186]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 0.3, goal_reward, 1, success_reward, 1, 0.231]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 1, goal_reward, 0.3, success_reward, 0.5, 0.314]1_2
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 1, goal_reward, 0.3, success_reward, 1, 0.2544]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 1, goal_reward, 1, success_reward, 0.5, 0.2446]
[hold_object_reward, 0.2, grasp_reward, 1, rotation_reward, 1, goal_reward, 1, success_reward, 1, 0.2197]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.3, goal_reward, 0.3, success_reward, 0.5, 0.4053]1_2
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.3, goal_reward, 0.3, success_reward, 1, 0.2217]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.3, goal_reward, 1, success_reward, 0.5, 0.1255]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 0.3, goal_reward, 1, success_reward, 1, 0.1206]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 0.3, success_reward, 0.5, 0.4268]1_2
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 0.3, success_reward, 1, 0.1567]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 1, success_reward, 0.5, 0.2373]
[hold_object_reward, 1, grasp_reward, 0.3, rotation_reward, 1, goal_reward, 1, success_reward, 1, 0.4185]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.3, goal_reward, 0.3, success_reward, 0.5, 0.4634]1_2
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.3, goal_reward, 0.3, success_reward, 1, 0.4106]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.3, goal_reward, 1, success_reward, 0.5, 0.3311]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 0.3, goal_reward, 1, success_reward, 1, 0.3081]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, goal_reward, 0.3, success_reward, 0.5, 0.1895]1_2
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, goal_reward, 0.3, success_reward, 1, 0.2749]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, goal_reward, 1, success_reward, 0.5, 0.1997]
[hold_object_reward, 1, grasp_reward, 1, rotation_reward, 1, goal_reward, 1, success_reward, 1, 0.2192]

[hold_object_reward, 0.25, grasp_reward, 0.25, rotation_reward, 0.2, progress_reward, 0.25, goal_reward, 0.05, 0.3389]1_4
[hold_object_reward, 0.25, grasp_reward, 0.25, rotation_reward, 0.2, progress_reward, 0.25, goal_reward, 1, 0.166]
[hold_object_reward, 0.25, grasp_reward, 0.25, rotation_reward, 0.2, progress_reward, 1, goal_reward, 0.05, 0.23]
[hold_object_reward, 0.25, grasp_reward, 0.25, rotation_reward, 0.2, progress_reward, 1, goal_reward, 1, 0.1841]
[hold_object_reward, 0.25, grasp_reward, 0.25, rotation_reward, 1, progress_reward, 0.25, goal_reward, 0.05, 0.1782]1_4
[hold_object_reward, 0.25, grasp_reward, 0.25, rotation_reward, 1, progress_reward, 0.25, goal_reward, 1, 0.2681]
[hold_object_reward, 0.25, grasp_reward, 0.25, rotation_reward, 1, progress_reward, 1, goal_reward, 0.05, 0.1924]
[hold_object_reward, 0.25, grasp_reward, 0.25, rotation_reward, 1, progress_reward, 1, goal_reward, 1, 0.1782]
[hold_object_reward, 0.25, grasp_reward, 1, rotation_reward, 0.2, progress_reward, 0.25, goal_reward, 0.05, 0.1396]1_4
[hold_object_reward, 0.25, grasp_reward, 1, rotation_reward, 0.2, progress_reward, 0.25, goal_reward, 1, 0.2578]
[hold_object_reward, 0.25, grasp_reward, 1, rotation_reward, 0.2, progress_reward, 1, goal_reward, 0.05, 0.4014]
[hold_object_reward, 0.25, grasp_reward, 1, rotation_reward, 0.2, progress_reward, 1, goal_reward, 1, 0.2236]
[hold_object_reward, 0.25, grasp_reward, 1, rotation_reward, 1, progress_reward, 0.25, goal_reward, 0.05, 0.3359]1_4
[hold_object_reward, 0.25, grasp_reward, 1, rotation_reward, 1, progress_reward, 0.25, goal_reward, 1, 0.2051]
[hold_object_reward, 0.25, grasp_reward, 1, rotation_reward, 1, progress_reward, 1, goal_reward, 0.05, 0.5103]
[hold_object_reward, 0.25, grasp_reward, 1, rotation_reward, 1, progress_reward, 1, goal_reward, 1, 0.2568]
