[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 25, stability_reward, 10, completion_bonus, 50, contact_penalty, 10, 0.0073]
[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 15, stability_reward, 5, completion_bonus, 25, contact_penalty, 5, 0.0027]2_7
[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 15, stability_reward, 5, completion_bonus, 15, contact_penalty, 1, 0.0022]
[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 15, stability_reward, 5, completion_bonus, 50, contact_penalty, 10, 0.0015]
[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 50, stability_reward, 20, completion_bonus, 25, contact_penalty, 5, 0.0089]2_7
[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 50, stability_reward, 20, completion_bonus, 15, contact_penalty, 1, 0.0071]
[position_reward, 20, height_reward, 3, throw_reward, 1, orientation_reward, 5, proximity_reward, 50, stability_reward, 20, completion_bonus, 50, contact_penalty, 10, 0.0029]
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 25, stability_reward, 10, completion_bonus, 25, contact_penalty, 5, 0.9326]2_7
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 25, stability_reward, 10, completion_bonus, 15, contact_penalty, 1, 0.94]
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 25, stability_reward, 10, completion_bonus, 50, contact_penalty, 10, 0.9515]
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 15, stability_reward, 5, completion_bonus, 25, contact_penalty, 5, 0.9478]2_7
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 15, stability_reward, 5, completion_bonus, 15, contact_penalty, 1, 0.9542]
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 15, stability_reward, 5, completion_bonus, 50, contact_penalty, 10, 0.9507]
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 50, stability_reward, 20, completion_bonus, 25, contact_penalty, 5, 0.9434]2_7
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 50, stability_reward, 20, completion_bonus, 15, contact_penalty, 1, 0.9388]
[position_reward, 10, height_reward, 1, throw_reward, 16, orientation_reward, 30, proximity_reward, 50, stability_reward, 20, completion_bonus, 50, contact_penalty, 10, 0.9325]
[position_reward, 40, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 25, stability_reward, 10, completion_bonus, 25, contact_penalty, 5, 0.9398]2_7
[position_reward, 40, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 25, stability_reward, 10, completion_bonus, 15, contact_penalty, 1, 0.9484]
[position_reward, 40, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 25, stability_reward, 10, completion_bonus, 50, contact_penalty, 10, 0.9501]
[position_reward, 40, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 15, stability_reward, 5, completion_bonus, 25, contact_penalty, 5, 0.948]2_7
[position_reward, 40, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 15, stability_reward, 5, completion_bonus, 15, contact_penalty, 1, 0.947]
[position_reward, 40, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 15, stability_reward, 5, completion_bonus, 50, contact_penalty, 10, 0.9361]
[position_reward, 40, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 50, stability_reward, 20, completion_bonus, 25, contact_penalty, 5, 0.9478]2_7
[position_reward, 40, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 50, stability_reward, 20, completion_bonus, 15, contact_penalty, 1, 0.9314]
[position_reward, 0, height_reward, 10, throw_reward, 8, orientation_reward, 15, proximity_reward, 50, stability_reward, 20, completion_bonus, 50, contact_penalty, 10, 0.9334]

[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 2, contact_penalty, 1, 0.1384]0_8
[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 2, contact_penalty, 0.5, 0.0059]
[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 2, contact_penalty, 5, 0.0042]
[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 1, contact_penalty, 1, 0.9495]0_8
[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 1, contact_penalty, 0.5, 0.9404]
[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 1, contact_penalty, 5, 0.0014]
[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 5, contact_penalty, 1, 0]0_8
[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 5, contact_penalty, 0.5, 0.6866]
[position_reward, 5, height_reward, 3, velocity_reward, 2, orientation_reward, 2, stability_reward, 5, contact_penalty, 5, 0.0015]
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 2, contact_penalty, 1, 0.7318]0_8
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 2, contact_penalty, 0.5, 0.8676]
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 2, contact_penalty, 5, 0.8771]
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 1, contact_penalty, 1, 0.9225]0_8
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 1, contact_penalty, 0.5, 0.8255]
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 1, contact_penalty, 5, 0.942]
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 5, contact_penalty, 1, 0.9309]0_8
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 5, contact_penalty, 0.5, 0.2479]
[position_reward, 5, height_reward, 3, velocity_reward, 1, orientation_reward, 1, stability_reward, 5, contact_penalty, 5, 0.0006]
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 2, contact_penalty, 1, 0]0_8
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 2, contact_penalty, 0.5, 0.0007]
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 2, contact_penalty, 5, 0]
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 1, contact_penalty, 1, 0]0_8
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 1, contact_penalty, 0.5, 0.0007]
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 1, contact_penalty, 5, 0.0005]
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 5, contact_penalty, 1, 0.0003]0_8
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 5, contact_penalty, 0.5, 0]
[position_reward, 1, height_reward, 1, velocity_reward, 5, orientation_reward, 5, stability_reward, 5, contact_penalty, 5, 0]
[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 2, contact_penalty, 1, 0]0_8
[position_reward, 10, height_reward, 10, velocity_reward, 2, orientation_reward, 2, stability_reward, 2, contact_penalty, 0.5, 0.0021]
