[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 1, success_bonus, 5, 0.3783]
[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 10, success_bonus, 1, 0.2569]1_2
[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 10, success_bonus, 0.5, 0.1171]
[approach_reward, 10, contact_reward, 10, alignment_reward, 2, angular_velocity_reward, 0.5, grasp_reward, 10, success_bonus, 5, 0.4336]

[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.5, success_bonus, 10, 0.023]1_3
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.5, success_bonus, 5, 0.1163]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.5, success_bonus, 20, 0.1042]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.1, success_bonus, 10, 0.2895]1_3
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.1, success_bonus, 5, 0.0739]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.1, success_bonus, 20, 0.082]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 1, success_bonus, 10, 0.0063]1_3
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 1, success_bonus, 5, 0.2429]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 1, success_bonus, 20, 0.3056]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 0.5, success_bonus, 10, 0.0066]1_3
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 0.5, success_bonus, 5, 0.1506]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 0.5, success_bonus, 20, 0.0338]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 0.1, success_bonus, 10, 0.0087]1_3
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 0.1, success_bonus, 5, 0.0678]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 0.1, success_bonus, 20, 0.3048]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 1, success_bonus, 10, 0.0478]1_3
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 1, success_bonus, 5, 0.1075]
[handle_grasp_reward, 5, progress_reward, 2, velocity_reward, 1, finger_reward, 0.5, angular_velocity_reward, 1, success_bonus, 20, 0.1918]
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 0.5, success_bonus, 10, 0.4066]1_3
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 0.5, success_bonus, 5, 0.0929]
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 0.5, success_bonus, 20, 0.0365]
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 0.1, success_bonus, 10, 0.0971]1_3
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 0.1, success_bonus, 5, 0.0271]
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 0.1, success_bonus, 20, 0.0681]
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 1, success_bonus, 10, 0.079]1_3
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 1, success_bonus, 5, 0.4238]
[handle_grasp_reward, 1, progress_reward, 1, velocity_reward, 10, finger_reward, 5, angular_velocity_reward, 1, success_bonus, 20, 0.3113]
[handle_grasp_reward, 10, progress_reward, 5, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.5, success_bonus, 10, 0.3459]1_3
[handle_grasp_reward, 10, progress_reward, 5, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.5, success_bonus, 5, 0.0132]
[handle_grasp_reward, 10, progress_reward, 5, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.5, success_bonus, 20, 0.0288]
[handle_grasp_reward, 10, progress_reward, 5, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.1, success_bonus, 10, 0.0275]1_3
[handle_grasp_reward, 10, progress_reward, 5, velocity_reward, 3, finger_reward, 1, angular_velocity_reward, 0.1, success_bonus, 5, 0.4643]
